"Name","EN","FR","DE","ES","IT","NL","NO","TR","JP","KR","RU","AR","PT","CN","CNT","FA","ID","MS","TH","FI","VI"
"TID_EVENTDECK_CANNONEER_LAUNCH","Cannoneer Launch","Lancement du canonnier","Kanonier-Veröffentlichung","Lanzamiento del cañonero","Esordio del cannoniere","Lancering van de kanonnier","Kanoneren lanseres","Topçu Lansmanı","ブラスター登場","대포 사수 출시","Встречай канонира","إصدار المدفعي","Lançamento do Canhoneiro","炮兵登场","炮兵登場","رونمایی از توپچی","Penembak Meriam Meluncur!","Pelancaran Penembak Meriam","เปิดตัวพลปืนใหญ่","Tykkimiehen julkaisu","Ra mắt thẻ Pháo binh"
"TID_UPGRADE_CARDS_FOR_NEXT_KING_LEVEL","Upgrade other cards to increase your King Tower Level first.","Améliorez d'abord d'autres cartes pour augmenter le niveau de votre tour du roi.","Verbessere zuerst andere Karten, um deinen Königsturmlevel zu erhöhen.","Primero mejora otras cartas para aumentar tu nivel de la torre del rey.","Migliora prima le altre carte, per aumentare il livello della tua torre del re.","Upgrade andere kaarten om eerst het level van je koningstoren te verhogen.","Oppgrader andre kort først for å øke kongetårnnivået ditt.","Önce diğer kartları yükselterek Kral Kulesi seviyeni arttır.","先に他のカードをアップグレードして、キングタワーレベルを上げてください。","킹 타워 레벨을 높이려면 먼저 다른 카드를 업그레이드하세요.","Сначала улучши другие карты, чтобы повысить уровень башни короля.","قم بترقية البطاقات الأخرى لرفع مستوى برج الملك أولاً.","Melhore outras cartas antes para aumentar o nível da torre do rei.","请先升级其他卡牌以提升您的国王塔等级。","請先升級其他卡牌以提升你的國王塔等級。","اول کارت‌های دیگه رو ارتقا بده تا سطح برج پادشاهت رو افزایش بدی.","Tingkatkan Kartu lain terlebih dahulu untuk dapat meningkatkan Level Benteng Raja.","Naik taraf kad lain untuk meningkatkan tahap Menara Raja anda dahulu.","อัปเกรดการ์ดอื่นๆ เพื่อเพิ่มเลเวลหอคอยราชันของท่านก่อน","Päivitä ensin muita kortteja kuninkaan tornisi tason nostamiseksi.","Hãy nâng cấp những thẻ khác để tăng Cấp Vương Tháp của bạn trước."
"TID_CHARACTER_WALLBREAKER_MINI","Runner","Mini-coureur","Läufer","Corredor","Corridore","Renner","Løper","Mini Koşucu","ランナー","러너","Бегун","عدّاء","Sem barril","奔跑炸弹人","奔跑炸彈人","دونده","Pelari","Pelari","นักวิ่ง","Juoksija","Bộ xương chạy ném bom"
"TID_SPELL_ATTRIBUTE_BOUNCE_COUNT","Bounces","Rebonds","Abpraller","Rebotes","Rimbalzi","Kaatsen","Spretter","Zıplama sayısı","バウンス","바운스","Отскоки","القفزات","Ricocheteadas","弹跳","彈跳","جهش‌ها","Pantulan","Lantunan","จำนวนครั้งกระดอน","Kimpoamiskerrat","Số lần bật nảy"
"TID_SPELL_ATTRIBUTE_BOUNCE_DAMAGE","Bounce Damage","Dégâts des rebonds","Abprallerschaden","Daño del rebote","Danno dei rimbalzi","Kaatsschade","Sprettskade","Zıplama hasarı","バウンスのダメージ","바운스 피해량","Урон при отскоке","ضرر القفز","Dano por ricocheteada","弹跳伤害","彈跳傷害","آسیب جهش","Kerusakan Pantulan","Kerosakan lantunan","ความเสียหายกระดอน","Kimmokkeen tuhovoima","Sát thương bật nảy"
"TID_WALLBREAKER_MINI_DAMAGE","Damage","Dégâts","Schaden","Daño","Danni","Schade","Skade","Hasar","ダメージ","피해량","Урон","الضرر","Dano","伤害","傷害","آسیب","Kerusakan","Kerosakan","ความเสียหาย","Tuhovoima","Sát thương"
"TID_WALLBREAKER_MINI_HITPOINTS","Hitpoints","Points de vie","Trefferpunkte","Puntos de vida","Punti ferita","Levenspunten","Treffpoeng","Can","ヒットポイント","HP","Здоровье","نقاط الإصابة","Pontos de vida","生命值","生命值","تحمل ضربه","Nyawa","Nilai nyawa","พลังชีวิต","Elinvoima","Máu"
"TID_PRINCESS_TOWER_CAP_INFO","Tower Troop levels are capped at your King Tower Level!","Le niveau des troupes de tour est limité au niveau de votre tour du roi !","Die Level der Turmtruppen sind auf deinen Königsturmlevel begrenzt!","El nivel máximo que pueden tener las tropas de las torres es el nivel de la torre del rey actual.","Il livello delle truppe delle torri non supererà il livello della torre del re.","Het maximale level van torentroepen wordt bepaald door het level van je koningstoren!","Tårntroppnivåenes øvre grense er kongetårnnivået ditt!","Kule birliği seviyeleri mevcut kral kulesi seviyenle sınırlıdır!","タワーユニットのレベル上限はキングタワーレベルと同じになります。","타워 유닛 레벨이 현재의 킹 타워 레벨로 제한됩니다!","Уровень воинов в башне не может быть выше уровня башни короля!","تتقيد مستويات قوات الأبراج بمستوى برج الملك الحالي!","O nível máximo das tropas de torre é o nível da torre do rei!","皇家塔部队的等级上限为您的国王塔等级！","皇家塔部隊的等級上限為你的國王塔等級！","سطوح نیروی برج محدود به سطح برج پادشاه شما می‌شن!","Level Peleton Benteng akan dibatasi sesuai dengan Level Benteng Raja!","Tahap Askar Menara dihadkan pada tahap Menara Raja anda!","เลเวลกองกำลังหอคอยจะถูกจำกัดอยู่ที่เลเวลหอคอยราชันของท่าน!","Tornijoukkojen tason ylärajana on kuninkaan tornisi taso!","Cấp của Binh lính Tháp sẽ được giới hạn ở Cấp Vương Tháp của bạn!"
"TID_EVENTDECK_LOVEBUFF","Love Buff Event","Événement Buff d'amour","Liebesbuff-Ereignis","Evento ""Fuerza del amor""","Evento \qLa forza dell'amore\q","Liefdeskracht-evenement","Kjærlighetsøkning-event","Aşkın Gücü Etkinliği","ラブラブイベント","러브 버프 이벤트","Событие «Любовное усиление»","حدث تقوية الحب","Evento Força do Amor","为爱痴狂活动","為愛痴狂活動","رویداد تقویت عشق","Acara Semarak Cinta","Acara Cinta Mendalam","อีเวนท์บัฟเพิ่มรัก","Raju rakkaus -tapahtuma","Sự kiện Sức mạnh của tình yêu"
"TID_EVENTDECK_BOMBEREVO_LAUNCH","Bomber Evolution Launch","Lancement des bombardiers évolués","Bomberentwicklung-Veröffentlichung","Lanzamiento de la evolución del bombardero","Esordio del bombarolo evoluto","Lancering van de bommengooierevolutie","Lansering av bomberevolusjonen","Bombacı Evrimi Lansmanı","限界突破ボンバー リリース記念","폭탄병 진화 출시","Встречай эволюцию подрывника","إصدار تطوّر المفجر","Lançamento da evolução do Bombardeiro","觉醒炸弹兵登场","進化炸彈兵登場","رونمایی از تکامل بمب‌گذار","Evolusi Pengebom Meluncur!","Pelancaran Evolusi Pengebom","เปิดตัววิวัฒนาการมือระเบิด","Pommittajan evoluution julkaisu","Ra mắt thẻ Bom thủ tiến hóa"
